Original
ID;Type;Model Type;Kind;Model Name
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
.p9ga66D.AACASLT;Diagram;InteractionDiagram;UPDATE;"init"
eO9ga66D.AACASEs;Model Element;Frame;UPDATE;"init"
jp9ga66D.AACASL6;Diagram;InteractionDiagram;UPDATE;"sendStudentData"
yG9ga66D.AACASA1;Model Element;Frame;UPDATE;"sendStudentData"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJP;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJT;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJf;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
HJ9ga66D.AACASI3;Shape;Class;UPDATE;"TypeFactoryImpl"
7J9ga66D.AACASIw;Shape;Class;UPDATE;"CourseOfferingParser"
HJ9ga66D.AACASI5;Shape;Class;UPDATE;"CourseOfferingFactory"
7J9ga66D.AACASIz;Shape;Class;UPDATE;"TypeParser"
7J9ga66D.AACASI1;Shape;Class;UPDATE;"TypeSerializer"
HJ9ga66D.AACASI8;Shape;Class;UPDATE;"URL"
nJ9ga66D.AACASJA;Shape;Class;UPDATE;"XmlRpcClientConfigImpl"
HJ9ga66D.AACASI.;Shape;Class;UPDATE;"XmlRpcClient"
e.9ga66D.AACASG7;Model Element;Association;UPDATE;"(no name)"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
bJ9ga66D.AACASIt;Shape;Class;UPDATE;"CourseOfferingSerializer"
nJ9ga66D.AACASJC;Shape;Class;UPDATE;"Object"
XJ9ga66D.AACASJH;Shape;Class;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
gMUAa66D.AACARZo;Shape;InteractionLifeLine;UPDATE;"alternative[i]"
SLkAa66D.AACARFK;Model Element;InteractionLifeLine;UPDATE;"alternative[i]"
gMUAa66D.AACARZo;Shape;InteractionLifeLine;UPDATE;"alternative[i]"
SLkAa66D.AACARFK;Model Element;InteractionLifeLine;UPDATE;"alternative[i]"
gMUAa66D.AACARZq;Shape;InteractionLifeLine;UPDATE;"primary[i]"
oLkAa66D.AACARFI;Model Element;InteractionLifeLine;UPDATE;"primary[i]"
gMUAa66D.AACARZq;Shape;InteractionLifeLine;UPDATE;"primary[i]"
oLkAa66D.AACARFI;Model Element;InteractionLifeLine;UPDATE;"primary[i]"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
DXkAa66D.AACARIl;Model Element;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
YkUAa66D.AACARTt;Shape;Class;UPDATE;"CourseOffering"
LkUAa66D.AACARVu;Shape;Class;UPDATE;"CourseOffering"
GUUAa66D.AACARXJ;Shape;Class;UPDATE;"CourseOffering"
nJ9ga66D.AACASJE;Shape;Class;UPDATE;"CourseOffering"
lJ9ga66D.AACASIM;Diagram;ClassDiagram;UPDATE;"BSAccess"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
XJ9ga66D.AACASJN;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJR;Shape;Generalization;UPDATE;"(no name)"
3J9ga66D.AACASJr;Shape;Dependency;UPDATE;"(no name)"
XJ9ga66D.AACASJK;Shape;Class;UPDATE;"CourseOffering"
HJ9ga66D.AACASI3;Shape;Class;UPDATE;"TypeFactoryImpl"
7J9ga66D.AACASIw;Shape;Class;UPDATE;"CourseOfferingParser"
HJ9ga66D.AACASI5;Shape;Class;UPDATE;"CourseOfferingFactory"
